stays_in_weekend_nights,stays_in_week_nights,lead_time,arrival_year,arrival_month,arrival_day,market_segment_type,avg_price_per_room,booking_status,email,booking_id
2,6,69,2015,7,9,Online,118.13,1,Vargas.Victoria86@mail.com,
1,4,51,2015,7,13,Offline,79.5,1,Roger_J@protonmail.com,
2,3,42,2015,7,18,Online,210.0,1,Brandt.Raymond@mail.com,
2,7,43,2015,7,24,Online,166.0,0,Paul_Miller@xfinity.com,
0,2,4,2015,7,31,Online,192.0,0,Alec.W@verizon.com,
4,10,11,2015,8,1,Offline,172.0,0,Fleming_Kyle@hotmail.com,
2,3,136,2015,8,29,Direct,112.0,0,Joseph_Rios@mail.com,
0,3,31,2015,9,10,Online,108.0,0,Michael_R@verizon.com,
1,3,166,2015,9,10,Online,73.8,0,JTurner@aol.com,
2,5,96,2015,9,12,Online,95.86,0,Michael.Kim@yandex.com,
0,3,55,2015,9,30,Offline,73.0,0,Lauren.Williams66@zoho.com,
2,5,145,2015,10,1,Offline,55.43,0,Corey.Brewer@comcast.net,
0,3,33,2015,10,8,Corporate,67.5,0,DStark@att.com,
0,1,148,2015,10,24,Groups,47.0,1,Graham_Gregory@zoho.com,
0,3,41,2015,11,12,Corporate,52.2,0,Nicholas.N@outlook.com,
0,1,78,2015,11,21,Corporate,32.0,0,Barbara.Lopez@protonmail.com,
1,1,66,2015,12,5,Groups,64.0,1,RJackson@outlook.com,
2,0,39,2015,12,6,Offline,63.72,0,Travis.J@aol.com,
2,5,131,2015,12,22,Offline,64.14,0,Mr..G@comcast.net,
2,0,62,2015,12,27,Online,39.26,0,Claire.W@aol.com,
1,4,105,2015,12,28,Online,106.92,1,Sabrina_Lewis@gmail.com,
0,4,165,2015,12,30,Groups,136.5,0,DVM_Jason@gmail.com,
0,3,66,2015,12,31,Online,93.6,1,Nguyen_Benjamin@xfinity.com,
3,5,172,2016,1,17,Online,59.4,1,Cynthia_C@comcast.net,
0,2,112,2016,2,12,Groups,70.0,0,Stephanie.F@zoho.com,
1,3,36,2016,3,24,Online,108.75,1,Randy_M@zoho.com,
1,1,171,2016,4,4,Groups,85.0,0,Ross.Wilson@outlook.com,
1,1,171,2016,4,4,Groups,54.5,0,Hall_Marcus@att.com,
2,4,169,2016,4,16,Offline,80.1,0,Dean_M@protonmail.com,
0,1,3,2016,4,26,Online,59.0,1,David_Smith@outlook.com,
0,2,189,2016,4,26,Groups,46.0,1,RebeccaSmith@comcast.net,
0,3,225,2016,5,26,Groups,64.0,0,Robin_B@att.com,
0,1,7,2016,5,27,Groups,58.0,1,SarahPetty39@xfinity.com,
2,5,247,2016,6,16,Offline,98.6,0,Sanchez.Krista@hotmail.com,
4,10,241,2016,6,25,Online,150.71,0,TBowers52@hotmail.com,
2,4,200,2016,7,24,Online,205.0,1,Diane_Mcguire51@outlook.com,
4,10,105,2016,8,5,Offline,185.0,1,Humphrey.Susan@gmail.com,
2,5,332,2016,8,11,Online,190.0,1,VanessaWard63@yandex.com,
3,6,119,2016,8,15,Online,231.0,1,Casey.J38@hotmail.com,
2,2,55,2016,8,21,Online,274.0,1,RichardWatson@aol.com,
1,5,77,2016,8,22,Online,241.0,1,AJones@gmail.com,
3,8,210,2016,8,22,Online,192.73,1,Andrew_Banks@zoho.com,
0,3,43,2016,8,24,Direct,239.1,0,Frank.Bishop@att.com,
2,6,206,2016,8,27,Offline,99.63,1,Diana.A@aol.com,
2,5,218,2016,9,1,Online,100.0,1,Rice_Scott71@xfinity.com,
2,4,330,2016,9,4,Online,95.16,0,OSmith@hotmail.com,
