hotel,booking_status,lead_time,arrival_year,arrival_month,arrival_date_week_number,arrival_day,stays_in_weekend_nights,stays_in_week_nights,market_segment_type,country,avg_price_per_room,email
Resort Hotel,1,69,2015,7,28,9,2,6,Online,PRT,118.13,Vargas.Victoria86@mail.com
Resort Hotel,1,51,2015,7,29,13,1,4,Offline,PRT,79.5,Roger_J@protonmail.com
Resort Hotel,1,42,2015,7,29,18,2,3,Online,PRT,210.0,Brandt.Raymond@mail.com
Resort Hotel,0,43,2015,7,30,24,2,7,Online,ESP,166.0,Paul_Miller@xfinity.com
Resort Hotel,0,4,2015,7,31,31,0,2,Online,PRT,192.0,Alec.W@verizon.com
Resort Hotel,0,11,2015,8,31,1,4,10,Offline,PRT,172.0,Fleming_Kyle@hotmail.com
Resort Hotel,0,136,2015,8,35,29,2,3,Direct,PRT,112.0,Joseph_Rios@mail.com
Resort Hotel,0,31,2015,9,37,10,0,3,Online,BEL,108.0,Michael_R@verizon.com
Resort Hotel,0,166,2015,9,37,10,1,3,Online,PRT,73.8,JTurner@aol.com
Resort Hotel,0,96,2015,9,37,12,2,5,Online,PRT,95.86,Michael.Kim@yandex.com
Resort Hotel,0,55,2015,9,40,30,0,3,Offline,FRA,73.0,Lauren.Williams66@zoho.com
Resort Hotel,0,145,2015,10,40,1,2,5,Offline,GBR,55.43,Corey.Brewer@comcast.net
Resort Hotel,0,33,2015,10,41,8,0,3,Corporate,PRT,67.5,DStark@att.com
Resort Hotel,1,148,2015,10,43,24,0,1,Groups,PRT,47.0,Graham_Gregory@zoho.com
Resort Hotel,0,41,2015,11,46,12,0,3,Corporate,AUT,52.2,Nicholas.N@outlook.com
Resort Hotel,0,78,2015,11,47,21,0,1,Corporate,PRT,32.0,Barbara.Lopez@protonmail.com
Resort Hotel,1,66,2015,12,49,5,1,1,Groups,PRT,64.0,RJackson@outlook.com
Resort Hotel,0,39,2015,12,50,6,2,0,Offline,ESP,63.72,Travis.J@aol.com
Resort Hotel,0,131,2015,12,52,22,2,5,Offline,IRL,64.14,Mr..G@comcast.net
Resort Hotel,0,62,2015,12,53,27,2,0,Online,CRI,39.26,Claire.W@aol.com
Resort Hotel,1,105,2015,12,53,28,1,4,Online,PRT,106.92,Sabrina_Lewis@gmail.com
Resort Hotel,0,165,2015,12,53,30,0,4,Groups,PRT,136.5,DVM_Jason@gmail.com
Resort Hotel,1,66,2015,12,53,31,0,3,Online,PRT,93.6,Nguyen_Benjamin@xfinity.com
Resort Hotel,1,172,2016,1,4,17,3,5,Online,PRT,59.4,Cynthia_C@comcast.net
Resort Hotel,0,112,2016,2,7,12,0,2,Groups,ESP,70.0,Stephanie.F@zoho.com
Resort Hotel,1,36,2016,3,13,24,1,3,Online,PRT,108.75,Randy_M@zoho.com
Resort Hotel,0,171,2016,4,15,4,1,1,Groups,DEU,85.0,Ross.Wilson@outlook.com
Resort Hotel,0,171,2016,4,15,4,1,1,Groups,PRT,54.5,Hall_Marcus@att.com
Resort Hotel,0,169,2016,4,16,16,2,4,Offline,FRA,80.1,Dean_M@protonmail.com
Resort Hotel,1,3,2016,4,18,26,0,1,Online,PRT,59.0,David_Smith@outlook.com
Resort Hotel,1,189,2016,4,18,26,0,2,Groups,PRT,46.0,RebeccaSmith@comcast.net
Resort Hotel,0,225,2016,5,22,26,0,3,Groups,GBR,64.0,Robin_B@att.com
Resort Hotel,1,7,2016,5,22,27,0,1,Groups,PRT,58.0,SarahPetty39@xfinity.com
Resort Hotel,0,247,2016,6,25,16,2,5,Offline,GBR,98.6,Sanchez.Krista@hotmail.com
Resort Hotel,0,241,2016,6,26,25,4,10,Online,SWE,150.71,TBowers52@hotmail.com
Resort Hotel,1,200,2016,7,31,24,2,4,Online,PRT,205.0,Diane_Mcguire51@outlook.com
Resort Hotel,1,105,2016,8,32,5,4,10,Offline,PRT,185.0,Humphrey.Susan@gmail.com
Resort Hotel,1,332,2016,8,33,11,2,5,Online,PRT,190.0,VanessaWard63@yandex.com
Resort Hotel,1,119,2016,8,34,15,3,6,Online,GBR,231.0,Casey.J38@hotmail.com
